Close,High,Low,Open,Volume
545.781005859375,549.2283371934773,544.304994695349,545.0380423502995,47224900
544.4535522460938,548.6042441438841,541.9670913565726,545.7215723262182,44264300
535.290283203125,546.4248189179493,534.3789316488474,544.7804197789798,68493800
541.2835083007812,542.5713599602232,537.588522826048,539.5400715589968,40445800
543.6412353515625,543.9979037862945,538.2820185267881,543.2152768632277,36394600
549.2184448242188,550.1496282139123,534.8941464527446,543.5521385747207,75248600
553.8446655273438,554.151754700655,547.5542047078643,549.80292700237,51892700
556.7373046875,557.7477545276969,554.2013246942389,554.4588950819387,39310500
557.5594482421875,557.8268739812047,554.6470289741064,556.4697321910213,36656100
557.7872924804688,561.2643713841238,555.5286543862046,559.7982156086712,49321000
556.1329956054688,563.354579399442,555.5683360633434,558.4510079757443,59044900
565.623046875,567.5052452619498,562.7502909495536,565.6527944370424,75315500
564.6453247070312,565.6985982057745,561.584845604879,564.237952213736,77503100
566.0562744140625,566.7121216588677,564.4962264504853,565.7284114396389,44116900
567.6759643554688,567.7355813214435,563.999423059069,566.8611587218248,46805700
566.4239501953125,568.2622511765038,565.301113457304,567.5170087741786,38428600
568.6696166992188,571.064362885533,566.2848774298052,570.7364392510955,48336000
567.8448486328125,570.5774039966909,566.8015214416548,569.7527127715928,42100900
570.120361328125,570.7364235043248,564.4763997038558,566.8015219435828,63557400
565.0130004882812,570.4184947172506,562.4096250967393,569.7627080586115,72668800
565.2514038085938,566.2848453499787,561.6842110514825,564.1087352592257,38097800
564.218017578125,566.1854379587239,561.9027810482431,563.7609137739149,40846500
569.3453369140625,569.7229312723451,564.4962878742092,568.7193284068038,42939100
564.1981201171875,568.3317649115912,563.0355590522512,567.6759176917978,49964700
569.5340576171875,570.1402341517621,565.9171941862298,566.8015023453726,37398700
573.4789428710938,574.0453343695604,568.9180327244846,569.5241486507804,37912200
572.475341796875,573.9161558957669,570.8457305312595,572.117640001393,44138100
575.9034423828125,576.6486847463361,572.2566794174254,572.3958058807981,42268000
580.6133422851562,581.5573280392331,577.0460889559533,577.5329709112202,36217200
576.1021728515625,581.1896890869497,574.8699878939491,580.8816580095407,54203600
578.606201171875,579.1328682582629,575.2874222334457,576.1022278881695,30725400
578.6558227539062,582.4019270642203,578.4670255981297,582.1932373716321,34393700
580.8816528320312,581.6765658652295,578.8843936568359,580.3649320688628,37416800
579.927734375,581.1399661656003,576.9169261394305,580.1463096888544,36439000
579.6196899414062,580.7921972791999,576.6983375411487,577.3640703837991,34183800
574.323486328125,578.0199198880117,570.776125496096,577.5727623524157,49314600
575.5656127929688,576.3804184452299,572.9125667744971,576.3009089394529,34979900
575.3668823242188,580.7525446363423,574.4130108253214,577.8212456055562,47268200
577.1455078125,579.0135868388169,576.8374767309253,578.8844066451263,30174700
578.07958984375,579.2123122169955,574.76075028541,576.1717256033711,42899700
576.3306884765625,579.6196889070394,575.6152242941146,577.6025371982813,41435800
565.0328369140625,571.9784860249016,564.8340934879141,571.9089227933508,60182500
567.4176025390625,571.8990031889416,567.0002837782789,567.6958554782392,45667500
566.1953735351562,568.8683117841309,564.2875701521782,567.5566780058409,38217000
573.041748046875,573.0814724758461,566.9009578077806,567.1195331390961,39478300
587.2907104492188,588.1750792814856,581.6765876653681,585.4624164691394,68182000
591.831787109375,592.8652287778515,589.2383579645752,589.3178674732238,47233200
594.3953857421875,595.8361998006164,592.3881801994943,592.3881801994943,46444900
594.9617919921875,596.3628210105743,593.2129468004555,596.0051192162604,37586800
593.1135864257812,595.4883793575724,590.5996063811249,594.8822634508298,43006100
593.4017333984375,595.4287708447639,591.1858987893664,593.5805842924092,47388600
589.5860595703125,594.0177893902365,588.8905485392219,593.5309074092812,38904100
582.0343017578125,586.456085364698,580.1562763950889,585.979088998431,75988800
584.4190673828125,585.75053306763,581.6268951744081,582.5012570573457,37084100
586.555419921875,587.2907160283254,580.3252349064234,581.0009140487828,49412000
586.7542114257812,587.0423500011664,580.9214521437177,586.6349774878298,50032600
589.904052734375,591.344866826489,583.7235382544677,589.6358067130162,46750300
591.7323608398438,592.3683155218499,589.3873461789195,589.8940600229174,38226400
593.7395629882812,597.0483952740943,591.4243264966409,595.7169296044814,42441400
596.8397827148438,597.5154618364036,594.2761320418831,595.0014818573266,45621300
595.0313110351562,597.0384558306165,593.4911556618155,596.6509759062111,34000200
598.7276611328125,599.5225741357542,595.5777872765691,595.8559795360102,30177400
599.8008422851562,600.486467655311,598.6481668508209,599.1449950712815,31746000
600.0791015625,600.3275157004707,598.5191141462687,599.5624413961492,26906600
603.8052368164062,604.0536509227738,601.1124667180848,601.7881458096479,42787600
602.8116455078125,604.6201076752798,602.4539437115175,603.8053020406198,28762200
603.954345703125,605.2063625778626,603.1693789132718,603.5866976555247,31241500
600.84423828125,604.0040588477694,600.2480686075606,603.8351542148879,34742700
598.9761352539062,601.9571047996105,598.3104023701336,601.5298397758172,37234500
603.6065673828125,604.5703850257809,601.6589789125985,601.9372318289047,28677700
600.4964599609375,603.3084642377864,600.4964599609375,602.7321871244142,31543800
600.377197265625,603.2786571751108,598.9860539491438,602.5533073597338,35904700
602.9407958984375,603.9245667615821,601.370862320769,602.1558291096032,43695200
600.4566650390625,601.3310876116105,599.0655823267214,600.3573236481737,55773500
582.5609741210938,602.5632240884986,582.1734335224694,600.1486460207312,108248700
582.382080078125,589.238334536819,582.1336659404619,587.6087232382334,85919500
589.3770751953125,593.963254751842,579.1677354036608,580.0252023798975,125716700
592.9064331054688,593.5145890145251,585.8974879778806,589.1178420766572,57635800
599.49658203125,599.5365010094702,593.6840502010506,594.2723074608894,33160100
599.5364990234375,600.673033709029,596.286266618511,597.7019907423149,41219100
593.2254638671875,595.9871755936747,588.9882104091681,595.7478442826339,64969300
586.455810546875,589.9652730101648,582.6572397439561,586.1268440800185,56578800
584.322265625,588.8685869923663,582.6672101639617,588.1407350043717,57052700
582.8865966796875,589.3571225168115,578.7589985198474,587.6223507588766,50204000
590.1746215820312,590.8226355752365,584.6711578252952,585.7678951902626,37888500
593.5744018554688,597.9014122494413,591.8196706515002,594.4817066914783,47679400
586.8646240234375,595.9572670439192,585.0201967640594,595.6282397198856,60393100
587.7219848632812,588.8087424972755,583.4448733889237,586.9343761474076,47304700
578.7489624023438,584.1926084677874,576.8147784906305,584.1228111122192,73105000
579.6463012695312,580.0052069477971,573.6243775799428,574.0431617233518,47910100
580.4439086914062,583.2454785560273,576.6153987751911,582.6073834279746,48420600
591.002197265625,592.1586914849061,587.4329171587094,588.5595329953718,56900200
589.8656005859375,592.5674339582336,589.1577080719753,592.3879811065466,43319700
595.7877807617188,597.562410619056,593.8236574580369,595.1696451072651,58070600
601.2413330078125,601.2513127523598,596.8744645431257,598.8684661853716,42532900
604.6211547851562,605.9970207281947,603.5443769053658,604.1026949074611,48196000
607.9212646484375,607.9212646484375,603.7039705508554,603.9830991440912,41152100
606.1465454101562,608.9481760680518,604.980071516125,607.981053651763,34604700
597.5723876953125,597.8914352658803,592.8565932019453,593.0260663058995,70361100
602.7069702148438,603.5543965921443,595.4587545999498,598.818642579001,44433300
600.0050659179688,602.3181151413867,597.4228069982945,601.9093107246936,37177400
603.225341796875,604.7806606099443,598.9182910409676,602.1486247469728,39281300
600.0150146484375,608.1306155740967,599.2473045778189,605.6779717570167,66671500
595.9771728515625,598.4895734255874,588.7189779992506,590.8924323868896,65857200
599.9751586914062,600.4935577176606,595.4886551807033,596.0369934393696,33457800
602.4077758789062,602.5573503352053,596.784737785208,598.8385569367734,30653100
604.5015258789062,604.6311408496849,600.8225905322549,604.172498579845,35771500
598.9682006835938,606.3061120968874,598.2503284518037,605.0698408193554,50788500
603.035888671875,603.683963510289,600.9322316611732,602.2184015940107,26048700
603.4945678710938,604.0429061552635,600.6232006225274,600.7428358535425,30056700
601.5504150390625,602.7368484783108,596.714985283226,597.4029183001364,45076100
607.9013061523438,608.1106982366895,601.3909222732692,602.6670517126223,40921300
607.8713989257812,609.1575080488998,607.2432835546514,608.1106693810499,26910400
609.656005859375,609.656005859375,606.5553479941693,609.0478499794664,26749000
611.0916748046875,611.3907628653418,607.731787077126,608.2502469503253,31011100
608.5493774414062,609.845466362675,605.1994692243143,609.705871640604,36554000
598.1406860351562,608.4696001270332,597.6720639975363,608.3300054050101,76519800
595.4188842773438,601.2214363779027,594.7010120406462,600.2144558088706,50737200
592.457763671875,596.0968410433766,587.7918070882386,595.3590701652774,58266500
592.7568359375,597.7817589335975,590.0848810857798,594.1426816591761,43321600
583.2952880859375,596.226419710782,582.8965242893548,595.0598849968359,74196700
592.39794921875,592.9363077632394,580.6931691446642,583.8038068836951,88744100
582.0191650390625,595.5484729311629,578.1607768871335,594.3919179487391,74249200
575.1298828125,583.63432908105,570.533723601707,577.9713716824587,109648200
581.311279296875,583.1258280404028,571.3612308662864,574.9603891205771,71230500
570.9923706054688,578.4299578955523,568.4101116656967,573.7540215413394,80094900
574.1926879882812,575.6583108183255,563.9335715863721,569.187785314308,81158800
558.8987426757812,567.8318311729231,553.9237182672504,565.8877282348667,99326600
554.252685546875,562.3284287982106,550.3644188129149,557.7222898220398,88102100
557.19384765625,561.4211214289652,552.0293906715008,560.483938216931,69588200
549.7661743164062,557.4331130450024,548.0314026284964,556.8149774056806,74079400
561.1220092773438,562.1389695505442,549.835953090791,554.442091848548,62660300
565.4490356445312,568.0013552926785,560.6633830586674,561.1020658506349,49008700
559.33740234375,563.3254055013634,557.3832588897637,563.1060336846033,66041400
565.4290771484375,569.2376275644565,559.9455726652652,561.141985813832,66556000
563.7940063476562,568.8587877529125,560.9126592589647,561.6405112658884,62958200
563.97998046875,564.8900146484375,558.030029296875,559.280029296875,83763000
574.0800170898438,575.1500244140625,570.2000122070312,570.7999877929688,58766800
575.4600219726562,576.4099731445312,573.6900024414062,575.2999877929688,38355700
568.5900268554688,576.3300170898438,567.1900024414062,575.1900024414062,51848300
567.0800170898438,570.9000244140625,564.9400024414062,567.1799926757812,42164200
555.6599731445312,566.27001953125,555.0700073242188,565.530029296875,71662700
559.3900146484375,560.7100219726562,546.8699951171875,549.8300170898438,95328200
560.969970703125,562.9400024414062,553.6799926757812,557.4500122070312,54609600
564.52001953125,567.4199829101562,554.8099975585938,555.0499877929688,76014500
536.7000122070312,547.969970703125,536.7000122070312,545.1099853515625,125986000
505.2799987792969,525.8699951171875,505.05999755859375,523.6699829101562,216189500
